ＰＩコード	Ｈ寸法	Ｗ寸法	裏板	裏板Ｈ	裏板Ｗ	プラスタ	ﾌﾟﾗｽﾀＨ	ﾌﾟﾗｽﾀＷ	板厚	登録	備考
77144300	41	81	5SECC	-20	-60	1	-20	-60	0.5		SLUXﾊﾟﾈﾙ4 ｳﾗﾂｷ ﾇﾘ
77144800	41	81	5SECC	-20	-60	1	-20	-60	0.5		SLUXﾊﾟﾈﾙ2 ｳﾗﾂｷ
77144900	41	81	5SECC	-20	-60	1	-20	-60	0.5		SLUXﾊﾟﾈﾙ2 ｳﾗﾂｷ ﾇﾘ
77145300	41	81	5SECC	-20	-60	1	-20	-60	0.5		SLUXﾊﾟﾈﾙ4(ｳｴ)ｳﾗﾂｷ ﾇﾘ
77145900	41	81	5SECC	-20	-60	1	-20	-60	0.5		SLUXﾊﾟﾈﾙ2(ｳｴ)ｳﾗﾂｷ ﾇﾘ
77147200	24	81	5SECC	-3	-60	1	-3	-60	0.5		MWﾊﾟﾈﾙ4 ｳﾗﾂｷ
77147300	24	81	5SECC	-3	-60	1	-3	-60	0.5		MWﾊﾟﾈﾙ4 ｳﾗﾂｷ ﾇﾘ
77147800	24	81	5SECC	-3	-60	1	-3	-60	0.5		MWﾊﾟﾈﾙ2 ｳﾗﾂｷ
77147900	24	81	5SECC	-3	-60	1	-3	-60	0.5		MWﾊﾟﾈﾙ2 ｳﾗﾂｷ ﾇﾘ
77148300	24	81	5SECC	-3	-60	1	-3	-60	0.5		MWﾊﾟﾈﾙ4(ｳｴ) ｳﾗﾂｷ ﾇﾘ
77148900	24	81	5SECC	-3	-60	1	-3	-60	0.5		MWﾊﾟﾈﾙ2(ｳｴ) ｳﾗﾂｷ ﾇﾘ
77141400	41	80	5SECC	-20	-56	1	-20	-56	0.5	3月18日	LUXﾊﾟﾈﾙR4 ｳﾗﾂｷ
77141500	41	80	5SECC	-20	-56	1	-20	-56	0.5		LUXﾊﾟﾈﾙR4 ｳﾗﾂｷ ﾇﾘ
77141600	41	80	5SECC	-20	-56	1	-20	-56	0.5		LUXﾊﾟﾈﾙL4 ｳﾗﾂｷ
77141700	41	80	5SECC	-20	-56	1	-20	-56	0.5		LUXﾊﾟﾈﾙL4 ｳﾗﾂｷ ﾇﾘ
77142500	41	80	5SECC	-20	-56	1	-20	-56	0.5		LUXﾊﾟﾈﾙR4(ｳｴ)ｳﾗﾂｷ ﾇﾘ
77142700	41	80	5SECC	-20	-56	1	-20	-56	0.5		LUXﾊﾟﾈﾙL4(ｳｴ)ｳﾗﾂｷ ﾇﾘ
77144400			5SECC	-20	-56	1	-20	-56	0.5		SLUXﾊﾟﾈﾙR4 ｳﾗﾂｷ
77144500			5SECC	-20	-56	1	-20	-56	0.5		SLUXﾊﾟﾈﾙR4 ｳﾗﾂｷ ﾇﾘ
77144600			5SECC	-20	-56	1	-20	-56	0.5		SLUXﾊﾟﾈﾙL4 ｳﾗﾂｷ
77144700			5SECC	-20	-56	1	-20	-56	0.5		SLUXﾊﾟﾈﾙL4 ｳﾗﾂｷ ﾇﾘ
77145500			5SECC	-20	-56	1	-20	-56	0.5		SLUXﾊﾟﾈﾙR4(ｳｴ)ｳﾗﾂｷﾇﾘ
77145700			5SECC	-20	-56	1	-20	-56	0.5		SLUXﾊﾟﾈﾙL4(ｳｴ)ｳﾗﾂｷﾇﾘ
77147400			5SECC	-3	-56	1	-3	-56	0.5		MWﾊﾟﾈﾙR4 ｳﾗﾂｷ
77147500			5SECC	-3	-56	1	-3	-56	0.5		MWﾊﾟﾈﾙR4 ｳﾗﾂｷ ﾇﾘ
77147600			5SECC	-3	-56	1	-3	-56	0.5		MWﾊﾟﾈﾙL4 ｳﾗﾂｷ
77147700			5SECC	-3	-56	1	-3	-56	0.5		MWﾊﾟﾈﾙL4 ｳﾗﾂｷ ﾇﾘ
77148500			5SECC	-3	-56	1	-3	-56	0.5		MWﾊﾟﾈﾙR4(ｳｴ) ｳﾗﾂｷ ﾇﾘ
77148700			5SECC	-3	-56	1	-3	-56	0.5		MWﾊﾟﾈﾙL4(ｳｴ) ｳﾗﾂｷ ﾇﾘ
KKLGS1	0	59	0	0	0	0	0	0	0.6		KK LGS戸袋パネル 表
KKLGS2	19	-3	0	0	0	0	0	0	0.6		KK LGS戸袋パネル ウラ
FLGS1	0	59	0	0	0	0	0	0	0.6	0	Fﾄﾌﾞｸﾛﾊﾟﾈﾙ1(T0.6) ｵﾓﾃ
FLGS2	19	-3	0	0	0	0	0	0	0.6	0	Fﾄﾌﾞｸﾛﾊﾟﾈﾙ1(T0.6) ｳﾗ
50557600	0	60	0	0	0	0	0	0	0.6		BOﾄﾌﾞｸﾛﾊﾟﾈﾙ1
99980022			5SECC	0	0	1	0	0	0.5		BOﾄﾌﾞｸﾛﾊﾟﾈﾙ1
81140000			5SECC	-43	-52	1	-43	-52	0.5		ｽｲｯﾁﾊﾟﾈﾙ ｳﾗｲﾀﾂｷ
81141000			5SECC								
88135000			5SECC	-22	-60	1	-22	-60	0.5		EVﾊﾟﾈﾙ ｳﾗｲﾀﾂｷ
88136000			5SECC								
88166000			5SECC	-24	-60	1	-24	-60	0.5		EVｺｶﾞﾀﾂｷﾊﾟﾈﾙ ｳﾗｲﾀﾂｷ
88155000			5SECC	-22	-60	1	-22	-60	0.5		SEVﾊﾟﾈﾙ ｳﾗｲﾀﾂｷ
81153000			5SECC	-80	-32	1	-80	-32	0.5		ﾌﾞﾛｯｸﾊﾟﾈﾙ
78140000			5SECC	-47	-21						LUX SPﾊﾟﾈﾙ
